,minimum,maximum
R04198__cytop,-1000.0,1000.0
R00228__mito,-1000.0,1000.0000000000027
R01353__cytop,-999.9999999999997,1000.0000000000002
TO2__cytop,-1000.0,1000.0
R10949__cytop,-1000.0,999.999999999999
TZ2900041_plasmem__plasmem,-500.0,500.0
TZ2900046_plasmem__plasmem,-499.99999999999994,499.99999999999994
R02565__cytop,-1000.0,1000.0
TR2918406_mitmem__mitmem,-1000.0,1000.0
R00494__cytop,-1000.0,1000.0
R11384__extr,-1000.0,1000.0
TR0000254_plasmem__plasmem,-999.9999999999999,999.9999999999999
R11220__extr,-1000.0,1000.0
R03545__cytop,-999.9999999999998,999.9999999999825
R01876__cytop,-1000.0,1000.0
R01773__extr,-1000.0,1000.0
TR2918394_mitmem__mitmem,-1000.0,1000.0
TR0000009_ermem__ermem,-1000.0,1000.0
R02411__extr,-1000.0,1000.0
TR2015536_mitmem__mitmem,-1000.0,1000.0
R01278__cytop,-1000.0,124.99999999999986
R12988__cytop,-1000.0,1000.0
R01965__cytop,-1000.0,1000.0
R02849__cytop,-1000.0,1000.0
R01759__cytop,-1000.0000000000193,1000.0000000000001
R00502__cytop,-1000.0000000000001,1000.0000000000001
TR2900025_mitmem__mitmem,-1000.0,1000.0
TR0000209_plasmem__plasmem,-1000.0,1000.0
TZ2900062_plasmem__plasmem,-1000.0,1000.0
R02865__chlo,-1000.0,1000.0
R01641__cytop,-1000.0,1000.0
R00875__cytop,-1000.0,1000.0
R08980__er,-999.9999999999999,999.9999999999999
R01663__cytop,-999.9999999999997,1000.0
R01786__cytop,-1000.0,1000.0
R00372__cytop,-1000.0,1000.0
R10992__cytop,-1000.0000000000002,999.9999999999986
R11216__mito,-1000.0,1000.0
R12120__er,-1000.0,1000.0
R00768__chlo,-1000.0,999.9999999999993
TR2900011_mitmem__mitmem,-1000.0,1000.0
R05800__cytop,-1000.0,1000.0000000000032
R02404__mito,-1000.0,1000.0
R10055__cytop,-1000.0,1000.0
TR2918359_mitmem__mitmem,-1000.0,1000.0
R00345__cytop,-1000.0,1000.0
TR0010516_chlomem__chlomem,-1000.0000000000002,1000.0000000000003
R04001__cytop,-1000.0000000000022,1000.0
TR2900075_mitmem__mitmem,-1000.0,1000.0
R08639__chlo,-1000.0,1000.0
TR0000242_plasmem__plasmem,-1000.0,1000.0
R04444__chlo,-1000.0000000000001,1000.0000000000001
R00725__cytop,-1000.0,1000.0
R11100__cytop,-1000.0,1000.0
R05576__mito,-1000.0000000000001,999.9999999999999
R00771__extr,-1000.0,1000.0000000000085
R04001__mito,-1000.0,1000.0
R02393__chlo,-1000.0000000000002,1000.0000000000009
R01370__pero,-1000.0000000000001,1000.0
TR2918400_mitmem__mitmem,-1000.0,1000.0
R11219__nuc,-1000.0,999.9999999999999
TR2900076_mitmem__mitmem,-1000.0,1000.0
R01103__extr,-1000.0,1000.0
R01602__extr,-1000.0,1000.0
TZ2900034_plasmem__plasmem,-499.99999999999994,999.9999999999955
R04779__chlo,-1000.0,1000.0
R11319__cytop,-1000.0,1000.0
R00371__cytop,-999.9999999999998,1000.0
R01843__cytop,-999.9999999999999,1000.0
TR0010516_plasmem__plasmem,-1000.0,1000.0
R06982__cytop,-1000.0000000000002,999.9999999999989
R00372__mito,-1000.0,1000.0
R03968__mito,-1000.0,1000.0
R04681__cytop,-1000.0,1000.0
R10991__cytop,-1000.0,1000.0
R00710__mito,-1000.0,1000.0
TZ2900055_plasmem__plasmem,-500.0,500.0
R02848__cytop,-1000.0,1000.0
R07179__cytop,-1000.0,1000.0
R03989__cytop,-1000.0,124.99999999999943
R06861__cytop,-999.9999999999995,999.9999999999999
R08632__cytop,-1000.0,1000.0
R04673__nuc,-1000.0000000000001,1000.0
R08676__cytop,-1000.0,1000.0
R02113__extr,-999.9999999999977,1000.0
R01716__cytop,-1000.0,1000.0000000000001
R00289__cytop,-1000.0,1000.0
R11219__cytop,-999.9999999999999,999.9999999999999
R04171__cytop,-1000.0,1000.0
R11553__cytop,-1000.0,999.999999999998
R09950__extr,-1000.0,1000.0
TR0000020_mitmem__mitmem,-1000.0,1000.0
R10790__cytop,-1000.0,1000.0
R02353__er,-1000.0,1000.0
R01325__mito,-1000.0,1000.0
R00245__cytop,-1000.0,1000.0
R00848__cytop,-1000.0,1000.0
R01986__mito,-1000.0000000000001,999.9999999999999
TZ2900022_mitmem__mitmem,-1000.0000000000002,999.9999999999999
R01512__chlo,-1000.0,1000.0
R00724__cytop,-1000.0,1000.0
R00876__cytop,-1000.0,1000.0
R04780__cytop,-1000.0,1000.0
R04673__chlo,-999.9999999999999,999.9999999999999
R00248__mito,-1000.0000000000001,999.9999999999997
TR2900061_mitmem__mitmem,-1000.0,1000.0
R11101__cytop,-1000.0000000000002,1000.0
R01986__cytop,-1000.0,999.9999999999998
R01964__cytop,-1000.0,1000.0
R07316__extr,-1000.0,1000.0
R01108__cytop,-1000.0,1000.0
R00727__cytop,-1000.0,1000.0
R01512__cytop,-1000.0,1000.0
R00746__cytop,-999.9999999999998,999.9999999999998
R02404__cytop,-1000.0,1000.0
R11220__nuc,-1000.0,1000.0
R00369__pero,-1000.0,1000.0
R11217__cytop,-1000.0,1000.0
R01061__cytop,-1000.0,1000.0
R12356__cytop,-1000.0,1000.0
R01900__cytop,-1000.0,1000.0
R02352__cytop,-1000.0,1000.0
TR2900078_mitmem__mitmem,-1000.0,1000.0
T_SERt2m__chlomem,-1000.0,1000.0
R00867__extr,-1000.0,1000.0
TZ2900048_plasmem__plasmem,-500.00000000000006,500.00000000000085
R10948__chlo,-1000.0,999.9999999999999
T_H2Otr__ermem__ermem,-1000.0,1000.0
TR0000075_plasmem__plasmem,-1000.0,1000.0
R02848__chlo,-1000.0,1000.0
R12688__cytop,-1000.0,1000.0
R02405__mito,-999.9999999999966,1000.0
R00494__extr,-1000.0,999.9999999999991
TR2900074_mitmem__mitmem,-1000.0,1000.0
R09949__extr,-1000.0,1000.0
R00802__cytop,-999.9999999999999,1000.0000000000013
R00877__cytop,-1000.0,1000.0
R00343__cytop,-1000.0,1000.0
R00959__chlo,-1000.0,1000.0
R02566__chlo,-999.9999999999993,1000.0
R00292__cytop,-1000.0,1000.0
TR2900077_mitmem__mitmem,-1000.0,1000.0
R02549__cytop,-1000.0000000000003,1000.0
R11896__cytop,-1000.0,1000.0000000000001
R00093__cytop,-1000.0,1000.0
R01140__cytop,-1000.0,1000.0
TR2900013_chlomem__chlomem,-1000.0,1000.0
R01961__chlo,-1000.0,1000.0
R00572__cytop,-1000.0,1000.0
TCO2__cytop,-1000.0,1000.0
R01708__cytop,-1000.0,1000.0
R01371__pero,-1000.0000000000001,1000.0000000000001
R02393__cytop,-999.9999999999998,999.9999999999994
R04753__cytop,-1000.0,125.0000000000002
R02147__cytop,-1000.0,1000.0
R04673__cytop,-1000.0,1000.0000000000001
R00760__chlo,-1000.0,1000.0
R02740__chlo,-999.9999999999964,1000.0
R08964__cytop,-1000.0,1000.0
R10992__mito,-1000.0,1000.0
R04371__cytop,-1000.0,1000.0
R00878__extr,-1000.0,1000.0
R09947__cytop,-999.9999999999991,1000.0000000000001
